駅名,乗降客数,路線名,事業者名,lat,lon,都道府県
京成上野,38573.0,本線,京成電鉄,35.711196,139.773427,東京都
京成小岩,16763.0,本線,京成電鉄,35.742055,139.883888,東京都
京成曳舟,17274.0,押上線,京成電鉄,35.718029,139.819645,東京都
京成立石,32060.0,押上線,京成電鉄,35.738278,139.848614,東京都
京成金町,22029.0,金町線,京成電鉄,35.768469,139.8705,東京都
京成関屋,22495.0,本線,京成電鉄,35.743998,139.811561,東京都
京成高砂,90137.0,本線,京成電鉄,35.750943,139.866945,東京都
京橋,44951.0,3号線銀座線,東京地下鉄,35.67681,139.770124,東京都
京王よみうりランド,12795.0,相模原線,京王電鉄,35.632866,139.516785,東京都
京王八王子,46932.0,京王線,京王電鉄,35.658222,139.342938,東京都
京王堀之内,27194.0,相模原線,京王電鉄,35.624448,139.400323,東京都
京王多摩センター,74516.0,相模原線,京王電鉄,35.625171,139.424322,東京都
京王多摩川,13949.0,相模原線,京王電鉄,35.644782,139.537061,東京都
京王永山,39413.0,相模原線,京王電鉄,35.63031,139.448264,東京都
京王片倉,4724.0,高尾線,京王電鉄,35.644362,139.337355,東京都
人形町,63201.0,2号線日比谷線,東京地下鉄,35.686365,139.782233,東京都
仙川,67190.0,京王線,京王電鉄,35.662309,139.584917,東京都
代々木,102192.0,中央線,東日本旅客鉄道,35.683058,139.702045,東京都
代々木上原,237023.0,小田原線,小田急電鉄,35.66906,139.679687,東京都
代々木八幡,17806.0,小田原線,小田急電鉄,35.669477,139.688603,東京都
代々木公園,24257.0,9号線千代田線,東京地下鉄,35.66906,139.689853,東京都
代官山,26201.0,東横線,東急電鉄,35.64809,139.703186,東京都
代田橋,16280.0,京王線,京王電鉄,35.670947,139.658827,東京都
仲御徒町,36683.0,2号線日比谷線,東京地下鉄,35.70664,139.776121,東京都
住吉,49114.0,11号線半蔵門線,東京地下鉄,35.688782,139.815591,東京都
保谷,53701.0,池袋線,西武鉄道,35.748327,139.567554,東京都
信濃町,38594.0,中央線,東日本旅客鉄道,35.680087,139.720238,東京都
光が丘,35365.0,12号線大江戸線,東京都,35.758494,139.628465,東京都
入谷,31731.0,2号線日比谷線,東京地下鉄,35.720306,139.784204,東京都
八丁堀,89641.0,2号線日比谷線,東京地下鉄,35.674588,139.777706,東京都
八坂,5861.0,多摩湖線,西武鉄道,35.745131,139.46745,東京都
八幡山,34899.0,京王線,京王電鉄,35.669892,139.615748,東京都
八広,12118.0,押上線,京成電鉄,35.727223,139.828283,東京都
八王子,144202.0,中央線,東日本旅客鉄道,35.655639,139.338966,東京都
八王子みなみ野,32578.0,横浜線,東日本旅客鉄道,35.631363,139.330967,東京都
六本木,94895.0,2号線日比谷線,東京地下鉄,35.663367,139.731794,東京都
六本木一丁目,60048.0,7号線南北線,東京地下鉄,35.665173,139.739016,東京都
六町,29500.0,常磐新線,首都圏新都市鉄道,35.784606,139.821781,東京都
六郷土手,14787.0,本線,京浜急行電鉄,35.540684,139.707801,東京都
内幸町,29846.0,6号線三田線,東京都,35.670172,139.755681,東京都
分倍河原,80296.0,京王線,京王電鉄,35.668556,139.468732,東京都
初台,49640.0,京王線,京王電鉄,35.681281,139.686519,東京都
勝どき,74776.0,12号線大江戸線,東京都,35.659341,139.777624,東京都
北八王子,13014.0,八高線,東日本旅客鉄道,35.669332,139.363491,東京都
北千住,382081.0,伊勢崎線,東武鉄道,35.749609,139.805118,東京都
北千束,6657.0,大井町線,東急電鉄,35.606316,139.693216,東京都
北参道,20737.0,13号線副都心線,東京地下鉄,35.678504,139.705407,東京都
北品川,7996.0,本線,京浜急行電鉄,35.622482,139.739378,東京都
北府中,24102.0,武蔵野線,東日本旅客鉄道,35.680777,139.471815,東京都
北池袋,9242.0,東上本線,東武鉄道,35.741275,139.716764,東京都
北綾瀬,37167.0,9号線千代田線,東京地下鉄,35.776968,139.832086,東京都
北赤羽,34182.0,東北線,東日本旅客鉄道,35.786687,139.706207,東京都
北野,19438.0,京王線,京王電鉄,35.644417,139.35466,東京都
十条,64214.0,赤羽線,東日本旅客鉄道,35.760551,139.722179,東京都
千住大橋,14744.0,本線,京成電鉄,35.742388,139.796673,東京都
千川,34918.0,8号線有楽町線,東京地下鉄,35.738191,139.689321,東京都
千歳烏山,74178.0,京王線,京王電鉄,35.668197,139.601138,東京都
千歳船橋,51828.0,小田原線,小田急電鉄,35.647338,139.624082,東京都
千石,28140.0,6号線三田線,東京都,35.727999,139.744707,東京都
千駄木,25947.0,9号線千代田線,東京地下鉄,35.725666,139.76326,東京都
千鳥町,13955.0,池上線,東急電鉄,35.572959,139.691524,東京都
半蔵門,66059.0,11号線半蔵門線,東京地下鉄,35.685365,139.741736,東京都
南千住,30962.0,常磐線,東日本旅客鉄道,35.732944,139.799008,東京都
南多摩,11418.0,南武線,東日本旅客鉄道,35.64928,139.489898,東京都
南大沢,52585.0,相模原線,京王電鉄,35.614116,139.380076,東京都
南平,9354.0,京王線,京王電鉄,35.654556,139.392017,東京都
南新宿,3588.0,小田原線,小田急電鉄,35.683447,139.698545,東京都
南砂町,54476.0,5号線東西線,東京地下鉄,35.668785,139.830675,東京都
原宿,115448.0,山手線,東日本旅客鉄道,35.671282,139.702907,東京都
参宮橋,10858.0,小田原線,小田急電鉄,35.678698,139.693574,東京都
台場,14135.0,東京臨海新交通臨海線,ゆりかもめ,35.626011,139.771515,東京都
吉祥寺,237730.0,中央線,東日本旅客鉄道,35.702944,139.579861,東京都
向原,1460.0,荒川線,東京都,35.729054,139.725125,東京都
和泉多摩川,13358.0,小田原線,小田急電鉄,35.627257,139.573642,東京都
品川,497300.0,山手線,東日本旅客鉄道,35.62851,139.73874,東京都
品川シーサイド,28947.0,臨海副都心線,東京臨海高速鉄道,35.609623,139.749851,東京都
唐木田,13716.0,多摩線,小田急電鉄,35.615838,139.411129,東京都
喜多見,29015.0,小田原線,小田急電鉄,35.636673,139.587112,東京都
四ツ木,16198.0,押上線,京成電鉄,35.731889,139.834977,東京都
四ツ谷,159008.0,中央線,東日本旅客鉄道,35.686004,139.730654,東京都
